value,variants
Bhum,Bhum |
Kalamb,Kalamb |
Murum,Murum |
Naldurg,Naldurg |
Paranda,Paranda |
Tuljapur,Tuljapur |
Umarga,Umarga |
Vashi,Vashi |
Parbhani,Parbhani |Parbhani |
Parbhani,Parbhani |
Gangakhed,Gangakhed |
Jintur,Jintur |
Manwath,Manwath |
Palam,Palam |
Pathri,Pathri |
Purna,Purna |
Sailu,Sailu |
Sonpeth,Sonpeth |
Pune,Pune |Pune |
Pune,Pune |
Alandi,Alandi |
Baramati,Baramati |
Bhor,Bhor |
Chakan,Chakan |
Daund,Daund |
Indapur,Indapur |
Jejuri,Jejuri |
Junnar,Junnar |
Lonavala,Lonavala |
Pimpri Chinchwad,Pimpri Chinchwad |
Rajgurunagar,Rajgurunagar |
Sasvad,Sasvad |
Shirur,Shirur |
Talegaon Dabhade,Talegaon Dabhade |
Raigad,Raigad |Raigad |
Alibag,Alibag |
Ratnagiri,Ratnagiri |Ratnagiri |
Ratnagiri,Ratnagiri |
Chiplun,Chiplun |
Dapoli Camp,Dapoli Camp |
Devrukh,Devrukh |
Guhaghar,Guhaghar |
Khed,Khed |
Lanja,Lanja |
Mandangad,Mandangad |
Rajapur,Rajapur |
Sangli,Sangli |Sangli |
Sangli,Sangli |
Ashta,Ashta |
Jat,Jat |
Kadegaon,Kadegaon |
Kavathemahankal,Kavathemahankal |
Khanapur,Khanapur |
Palus,Palus |
Sangli Miraj Kupwad,Sangli Miraj Kupwad |
Shirala,Shirala |
Tasgaon,Tasgaon |
Uran Islampur,Uran Islampur |
Vita,Vita |
Satara,Satara |Satara |
Satara,Satara |
Dahiwada,Dahiwada |
Karad,Karad |
Khandala,Khandala |
Koregaon,Koregaon |
Lonand,Lonand |
Mahabaleshwar,Mahabaleshwar |
Malkapur,Malkapur |
Medha,Medha |
Mhaswad,Mhaswad |
Panchgani,Panchgani |
Patan,Patan |
Phaltan,Phaltan |
Rahimatpur,Rahimatpur |
Waduj,Waduj |
Wai,Wai |
Sindhudurg,Sindhudurg |Sindhudurg |
Sawantwadi,Sawantwadi |
Kankavli,Kankavli |
Kudal,Kudal |
Malwan,Malwan |
Vengurla,Vengurla |
Solapur,Solapur |Solapur |
Solapur,Solapur |
Akkalkot,Akkalkot |
Barshi,Barshi |
Dudhani,Dudhani |
Karmala,Karmala |
Kurduvadi,Kurduvadi |
Madha,Madha |
Maindargi,Maindargi |
Malshiras,Malshiras |
Mangalvedhe,Mangalvedhe |
Mohol,Mohol |
Pandharpur,Pandharpur |
Sangole,Sangole |
Thane,Thane |Thane |
Thane,Thane |
Ambarnath,Ambarnath |
Badlapur,Badlapur |
Bhiwandi Nizampur,Bhiwandi Nizampur |
Dahanu,Dahanu |
Jawhar,Jawhar |
Mokhada,Mokhada |
Murbad,Murbad |
Navi Mumbai,Navi Mumbai |
Palghar,Palghar |
Sawali,Sawali |
Shahapur,Shahapur |
Talasari,Talasari |
Ulhasnagar,Ulhasnagar |
Vada,Vada |
Vikramgad,Vikramgad |
Wardha,Wardha |Wardha |
Wardha,Wardha |
Aashti,Aashti |
Arvi,Arvi |
Deoli,Deoli |
Hinganghat,Hinganghat |
Karanja,Karanja |
Pulgaon,Pulgaon |
Samudrapur,Samudrapur |
Selu,Selu |
Sindi,Sindi |
Washim,Washim |Washim |
Washim,Washim |
Karanja,Karanja |
Malegaon Jahangir,Malegaon Jahangir |
Mangrulpir,Mangrulpir |
Manora,Manora |
Risod,Risod |
Yavatmal,Yavatmal |Yavatmal |
Yavatmal,Yavatmal |
Bhabulgaon,Bhabulgaon |
Darwha,Darwha |
Digras,Digras |
Ghatanji,Ghatanji |
kalamb,kalamb |
Lohara,Lohara |
Mahagaon,Mahagaon |
Maregaon,Maregaon |
Ner,Ner |
Pandharkaoda,Pandharkaoda |
Pusad,Pusad |
Ralegaon,Ralegaon |
Umarkhed,Umarkhed |
Wani,Wani |
Zari,Zari |
Palghar,Palghar |Palghar |
Palghar,Palghar |
Andhra Pradesh,Andhra Pradesh |Trilinga Desa |Andhra |
Anantapur,Anantapur |Anantapuramu |
Anantapur,Anantapur |
Dharmavaram,Dharmavaram |
Gooty,Gooty |
Guntakal,Guntakal |
Hindupur,Hindupur |
Kadiri,Kadiri |
Kalyandurg,Kalyandurg |
Madakasira,Madakasira |
Pamidi,Pamidi |
Puttaparthi,Puttaparthi |
Rayadurg,Rayadurg |
Tadpatri,Tadpatri |
Chittoor,Chittoor |Chittoor |
Chittoor,Chittoor |
Madanapalle,Madanapalle |
Nagari,Nagari |
Palamaner,Palamaner |
Punganur,Punganur |
Puttur,Puttur |
Srikalahasti,Srikalahasti |
Tirupati,Tirupati |
East Godavari,East Godavari |East Godavari |Kakinada |
Kakinada,Kakinada |
Amalapuram,Amalapuram |
Gollaprolu,Gollaprolu |
Mandapeta,Mandapeta |
Mummidivaram,Mummidivaram |
Peddapuram,Peddapuram |
Pithapuram,Pithapuram |
Rajahmundry,Rajahmundry |
Ramachandrapuram,Ramachandrapuram |
Samalkot,Samalkot |
Tuni,Tuni |
Yeleswaram,Yeleswaram |
Guntur,Guntur |Guntur |
Guntur,Guntur |
Amaravati Capital City,Amaravati Capital City |
Bapatla,Bapatla |
Chilakaluripet,Chilakaluripet |
Macherla,Macherla |
Mangalagiri,Mangalagiri |
Narasaraopet,Narasaraopet |
Piduguralla,Piduguralla |
Ponnur,Ponnur |
Repalle,Repalle |
Sattenapalle,Sattenapalle |
Tadepalle,Tadepalle |
Tenali,Tenali |
Vinukonda,Vinukonda |
Krishna,Krishna |Krishna |Machilipatnam |
Vijayawada,Vijayawada |
Gudivada,Gudivada |
Jaggaiahpet,Jaggaiahpet |
Machilipatnam,Machilipatnam |
Nandigama,Nandigama |
Nuzvid,Nuzvid |
Pedana,Pedana |
Tiruvuru,Tiruvuru |
Vuyyuru,Vuyyuru |
Kurnool,Kurnool |Kurnool |
Kurnool,Kurnool |
Adoni,Adoni |
Allagadda,Allagadda |
Atmakur,Atmakur |
Dhone,Dhone |
Gudur,Gudur |
Nandikoturu,Nandikoturu |
Nandyal,Nandyal |
Yemmiganur,Yemmiganur |
Spsr Nellore,Spsr Nellore |Nellore |Sri Potti Sriramulu Nellore |
Nellore,Nellore |
Atmakur,Atmakur |
Kavali,Kavali |
Naidupeta,Naidupeta |
Sulluru,Sulluru |
Venkatagiri,Venkatagiri |
Prakasam,Prakasam |Prakasam |Ongole |
Ongole,Ongole |
Addanki,Addanki |
Chimakurthy,Chimakurthy |
Chirala,Chirala |
Giddaluru,Giddaluru |
Kandukur,Kandukur |
Kanigiri,Kanigiri |
Markapur,Markapur |
Srikakulam,Srikakulam |Srikakulam |
Srikakulam,Srikakulam |
Amadalavalasa,Amadalavalasa |
Ichchapuram,Ichchapuram |
Palakonda,Palakonda |
Palasa Kasibugga,Palasa Kasibugga |
Rajam,Rajam |
Visakhapatanam,Visakhapatanam |Visakhapatnam |Vizag |
Visakhapatnam,Visakhapatnam |
GVMC,GVMC |
Narsipatnam,Narsipatnam |
Yelamanchili,Yelamanchili |
Vizianagaram,Vizianagaram |Vizianagaram |
Vizianagaram,Vizianagaram |
Bobbili,Bobbili |
Nellimarla,Nellimarla |
Parvathipuram,Parvathipuram |
Salur,Salur |
West Godavari,West Godavari |West Godavari |Eluru |
Eluru,Eluru |
Bhimavaram,Bhimavaram |
Jangareddigudem,Jangareddigudem |
Kovvur,Kovvur |
Narasapur,Narasapur |
Nidadavole,Nidadavole |
Palacole,Palacole |
Tadepalligudem,Tadepalligudem |
Tanuku,Tanuku |
Parvathipuram Manyam,Parvathipuram Manyam |Parvathipuram |
Parvathipuram,Parvathipuram |
Anakapalli,Anakapalli |Anakapalle |
Anakapalli,Anakapalli |
Alluri Sitharama Raju,Alluri Sitharama Raju |ASR Nagar |
Narsipatnam,Narsipatnam |
Kakinada,Kakinada |Kakinada |
Kakinada,Kakinada |
Konaseema,Konaseema |Konaseema |
Amalapuram,Amalapuram |
Eluru,Eluru |Eluru |
Eluru,Eluru |
Ntr,Ntr |NTR District |Narsaraopet |
Gudivada,Gudivada |
Bapatla,Bapatla |Bapatla |
Bapatla,Bapatla |
Palnadu,Palnadu |Palnadu |
Narasaraopet,Narasaraopet |
Tirupati,Tirupati |Tirupati |Chittoor |
Tirupati,Tirupati |
Annamayya,Annamayya |Annamayya District |
Rajampet,Rajampet |
Sri Sathya Sai,Sri Sathya Sai |Sri Sathya Sai District |
Puttaparthi,Puttaparthi |
Nandyal,Nandyal |Nandyal |
Nandyal,Nandyal |
Karnataka,Karnataka |Karunadu |
Bagalkot,Bagalkot |Bagalkote |
Bagalkot,Bagalkot |
Aminagad,Aminagad |
Badami,Badami |
Belagali,Belagali |
Bilgi,Bilgi |
Guledgudda,Guledgudda |
Hungund,Hungund |
Ilkal,Ilkal |
Jamkhandi,Jamkhandi |
Kamatgi,Kamatgi |
Kerur,Kerur |
Mahalingpur,Mahalingpur |
Mudhol,Mudhol |
Rabkavi Banhatti,Rabkavi Banhatti |
Terdal,Terdal |
Bengaluru Urban,Bengaluru Urban |Bengaluru |Bangalore |
Bengaluru,Bengaluru |
Anekal,Anekal |
Attibele,Attibele |
BBMP,BBMP |
Bommasandra,Bommasandra |
Chandapura,Chandapura |
Hebbagodi,Hebbagodi |
Jigani,Jigani |
Bengaluru Rural,Bengaluru Rural |Bengaluru Rural |Bangalore Rural |
Devanahalli,Devanahalli |
Dod Ballapur,Dod Ballapur |
Hosakote,Hosakote |
Nelamangala,Nelamangala |
Vijayapura,Vijayapura |
Belagavi,Belagavi |Belgaum |
Belagavi,Belagavi |
Ainapur,Ainapur |
Arabhavi,Arabhavi |
Athni,Athni |
Bail Hongal,Bail Hongal |
Belgaum,Belgaum |
Boragaon,Boragaon |
Chikodi,Chikodi |
Chinchali,Chinchali |
Examba,Examba |
Gokak,Gokak |
Harugeri,Harugeri |
Hukeri,Hukeri |
Kabbur,Kabbur |
Kallolli,Kallolli |
Kankanawadi,Kankanawadi |
Khanapur,Khanapur |
Kittur,Kittur |
Konnur,Konnur |
Kudchi,Kudchi |
Mallapur,Mallapur |
Manolli,Manolli |
Mudalgi,Mudalgi |
Mugalkhod,Mugalkhod |
Naganur,Naganur |
Nipani,Nipani |
Ramdurg,Ramdurg |
Raybag,Raybag |
Sadalgi,Sadalgi |
Sankeshwar,Sankeshwar |
Shedbal,Shedbal |
Ugar Khurd,Ugar Khurd |
Ballari,Ballari |Bellary |
Ballari,Ballari |
Bellary,Bellary |
Hagaribommanahalli,Hagaribommanahalli |
Hoovina Hadagalli,Hoovina Hadagalli |
Hospet,Hospet |
Kamalapuram,Kamalapuram |
Kampli,Kampli |
Kotturu,Kotturu |
Kudathini,Kudathini |
Kudligi,Kudligi |
Kurekuppa,Kurekuppa |
Kurugodu,Kurugodu |
Mariyammanahalli,Mariyammanahalli |
Sandur,Sandur |
Siruguppa,Siruguppa |
Tekkalakote,Tekkalakote |
Bidar,Bidar |Bidar |
Bidar,Bidar |
Aurad,Aurad |
Basavakalyan,Basavakalyan |
Bhalki,Bhalki |
Chitgoppa,Chitgoppa |
Hallikhed B,Hallikhed B |
Homnabad,Homnabad |
Vijayapura,Vijayapura |Vijayapura |Bijapur |
Vijayapura,Vijayapura |
Almel,Almel |
Basavana Bagevadi,Basavana Bagevadi |
Bijapur,Bijapur |
Chadchan,Chadchan |
Devara Hippargi,Devara Hippargi |
Indi,Indi |
Kolhar,Kolhar |
Managuli,Managuli |
Muddebihal,Muddebihal |
Nalatawad,Nalatawad |
Nidagundi,Nidagundi |
Sindgi,Sindgi |
Talikota,Talikota |
Chamarajanagar,Chamarajanagar |Chamarajanagara |
Chamarajanagar,Chamarajanagar |
Gundlupet,Gundlupet |
Hanur,Hanur |
Kollegal,Kollegal |
Yelandur,Yelandur |
Chikkamagaluru,Chikkamagaluru |Chikkamagaluru |Chikmagalur |
Chikkamagaluru,Chikkamagaluru |
Birur,Birur |
Chikmagalur,Chikmagalur |
Kadur,Kadur |
Koppa,Koppa |
Mudigere,Mudigere |
Narasimharajapura,Narasimharajapura |
Sringeri,Sringeri |
Tarikere,Tarikere |
Chitradurga,Chitradurga |Chitradurga |
Chitradurga,Chitradurga |
Challakere,Challakere |
Hiriyur,Hiriyur |
Holalkere,Holalkere |
Hosdurga,Hosdurga |
Molakalmuru,Molakalmuru |
Naikanahatti,Naikanahatti |
Dakshin Kannad,Dakshin Kannad |Dakshina Kannada |
Mangaluru,Mangaluru |
Bantval,Bantval |
Beltangadi,Beltangadi |
Kotekara,Kotekara |
Mangalore,Mangalore |
Mudbidri,Mudbidri |
Mulki,Mulki |
Puttur,Puttur |
Sulya,Sulya |
Ullal,Ullal |
Vittal,Vittal |
Davangere,Davangere |Davanagere |
Davangere,Davangere |
Channagiri,Channagiri |
Davanagere,Davanagere |
Harapanahalli,Harapanahalli |
Harihar,Harihar |
Honnali,Honnali |
Jagalur,Jagalur |
Malebennur,Malebennur |
Dharwad,Dharwad |Dharwad |
Dharwad,Dharwad |
Alnavar,Alnavar |
Annigeri,Annigeri |
Kalghatgi,Kalghatgi |
Kundgol,Kundgol |
Navalgund,Navalgund |
Gadag,Gadag |Gadag |
Gadag,Gadag |
Gajendragarh,Gajendragarh |
Lakshmeshwar,Lakshmeshwar |
Mulgund,Mulgund |
Mundargi,Mundargi |
Naregal,Naregal |
Nargund,Nargund |
Ron,Ron |
Shirhatti,Shirhatti |
Kalaburagi,Kalaburagi |Kalaburagi |Gulbarga |
Kalaburagi,Kalaburagi |
Afzalpur,Afzalpur |
Aland,Aland |
Chincholi,Chincholi |
Chitapur,Chitapur |
Gulbarga,Gulbarga |
Jevargi,Jevargi |
Sedam,Sedam |
Shahabad,Shahabad |
Wadi,Wadi |
Hassan,Hassan |Hassan |
Hassan,Hassan |
Alur,Alur |
Arkalgud,Arkalgud |
Arsikere,Arsikere |
Belur,Belur |
Channarayapatna,Channarayapatna |
Hole Narsipur,Hole Narsipur |
Sakleshpur,Sakleshpur |
Haveri,Haveri |Haveri |
Haveri,Haveri |
Bankapura,Bankapura |
Byadgi,Byadgi |
Guttal,Guttal |
Hangal,Hangal |
Hirekerur,Hirekerur |
Ranibennur,Ranibennur |
Savanur,Savanur |
Shiggaon,Shiggaon |
Kodagu,Kodagu |Kodagu |Coorg |
Madikeri,Madikeri |
Kushalnagar,Kushalnagar |
Somvarpet,Somvarpet |
Virajpet,Virajpet |
Kolar,Kolar |Kolar |
Kolar,Kolar |
Bangarapet,Bangarapet |
Malur,Malur |
Mulbagal,Mulbagal |
Robertson Pet,Robertson Pet |
Srinivaspur,Srinivaspur |
Koppal,Koppal |Koppal |
Koppal,Koppal |
Gangawati,Gangawati |
Kanakgiri,Kanakgiri |
Karatgi,Karatgi |
Kuknoor,Kuknoor |
Kushtagi,Kushtagi |
Tawargera,Tawargera |
Yelbarga,Yelbarga |
Mandya,Mandya |Mandya |
Mandya,Mandya |
Belluru,Belluru |
Krishnarajpet,Krishnarajpet |
Maddur,Maddur |
Malavalli,Malavalli |
Nagamangala,Nagamangala |
Pandavapura,Pandavapura |
Shrirangapattana,Shrirangapattana |
Mysuru,Mysuru |Mysore |Mysuru |
Mysuru,Mysuru |
Bannur,Bannur |
Heggadadevankote,Heggadadevankote |
Hunsur,Hunsur |
Krishnarajanagara,Krishnarajanagara |
Mysore,Mysore |
Nanjangud,Nanjangud |
Piriyapatna,Piriyapatna |
Saragur,Saragur |
Tirumakudal Narsipur,Tirumakudal Narsipur |
Raichur,Raichur |Raichur |
Raichur,Raichur |
Balganur,Balganur |
Devadurga,Devadurga |
Hatti,Hatti |
Kowtal,Kowtal |
Lingsugur,Lingsugur |
Manvi,Manvi |
Maski,Maski |
Mudgal,Mudgal |
Sindhnur,Sindhnur |
Sirwar,Sirwar |
Turvihal,Turvihal |
Shivamogga,Shivamogga |Shivamogga |Shimoga |
Shivamogga,Shivamogga |
Bhadravati,Bhadravati |
Hosanagara,Hosanagara |
Jog Kargal,Jog Kargal |
Sagar,Sagar |
Shikarpur,Shikarpur |
Shimoga,Shimoga |
Siralkoppa,Siralkoppa |
Sorab,Sorab |
Tirthahalli,Tirthahalli |
Tumakuru,Tumakuru |Tumakuru |Tumkur |
Tumakuru,Tumakuru |
Huliyar,Huliyar |
Chiknayakanhalli,Chiknayakanhalli |
Gubbi,Gubbi |
Koratagere,Koratagere |
Kunigal,Kunigal |
Madhugiri,Madhugiri |
Pavagada,Pavagada |
Sira,Sira |
Tiptur,Tiptur |
Tumkur,Tumkur |
Turuvekere,Turuvekere |
Udupi,Udupi |Udupi |
Udupi,Udupi |
Kaapu,Kaapu |
Karkal,Karkal |
Kundapura,Kundapura |
Saligram,Saligram |
Uttar Kannad,Uttar Kannad |Uttara Kannada |Karwar |
Karwar,Karwar |
Ankola,Ankola |
Bhatkal,Bhatkal |
Dandeli,Dandeli |
Haliyal,Haliyal |
Honavar,Honavar |
Jali,Jali |
Kumta,Kumta |
Mundgod,Mundgod |
Siddapur,Siddapur |
Sirsi,Sirsi |
Yellapur,Yellapur |
Chikballapur,Chikballapur |Chikkaballapur |Chikkaballapura |
Chikballapur,Chikballapur |
Bagepalli,Bagepalli |
Chikkaballapura,Chikkaballapura |
Chintamani,Chintamani |
Gauribidanur,Gauribidanur |
Gudibanda,Gudibanda |
Sidlaghatta,Sidlaghatta |
Ramanagara,Ramanagara |Ramanagara |
Ramanagara,Ramanagara |
Bidadi,Bidadi |
Channapatna,Channapatna |
Kanakapura,Kanakapura |
Magadi,Magadi |
Yadgir,Yadgir |Yadgir |
Yadgir,Yadgir |
Bhagyanagara,Bhagyanagara |
Gurmatkal,Gurmatkal |
Kekkera,Kekkera |
Kembhavi,Kembhavi |
Shahpur,Shahpur |
Shorapur,Shorapur |
Vijayanagar,Vijayanagar |Vijayanagara |Hampi |
Hospet,Hospet |
Goa,Goa |Gomantak |Gomanchala |Gopakapattana |Gopakapattam |Gopakapuri |Govapuri |Govem |
North Goa,North Goa |North Goa |Uttara Goa |
Panaji,Panaji |
Baga,Baga |
Candolim,Candolim |
Anjuna,Anjuna |
Arambol,Arambol |
Pernem,Pernem |
Siolim,Siolim |
Aldona,Aldona |
Porvorim,Porvorim |
Assagao,Assagao |
Tivim,Tivim |
Saligao,Saligao |
Moira,Moira |
Penha de Franca,Penha de Franca |
Colvale,Colvale |
Socorro,Socorro |
Parra,Parra |
Verla Canca,Verla Canca |
Guirim,Guirim |
Sangolda,Sangolda |
Salvador do Mundo,Salvador do Mundo |
Merces,Merces |
Santa Cruz,Santa Cruz |
Chimbel,Chimbel |
Ribandar,Ribandar |
Merces,Merces |
Curca,Curca |
Betim,Betim |
Olaulim,Olaulim |
Salvador do Mundo,Salvador do Mundo |
Carambolim,Carambolim |
Santa Inez,Santa Inez |
Merces,Merces |
Bicholim,Bicholim |
Mapusa,Mapusa |
Ponda,Ponda |
Sanquelim,Sanquelim |
Valpoi,Valpoi |
South Goa,South Goa |South Goa |Dakshina Goa |
Margao,Margao |
Madgaon,Madgaon |
Navelim,Navelim |
Cuncolim,Cuncolim |
Quepem,Quepem |
Sanguem,Sanguem |
Canacona,Canacona |
Varca,Varca |
Colva,Colva |
Benaulim,Benaulim |
Majorda,Majorda |
Utorda,Utorda |
Betalbatim,Betalbatim |
Cavelossim,Cavelossim |
Mobor,Mobor |
Assolna,Assolna |
Chandor,Chandor |
Loutolim,Loutolim |
Nuvem,Nuvem |
Raia,Raia |
Curtorim,Curtorim |
Rachol,Rachol |
Sanvordem,Sanvordem |
Davorlim,Davorlim |
Dicarpale,Dicarpale |
Nuvem,Nuvem |
Sao Jose de Areal,Sao Jose de Areal |
Verna,Verna |
Velsao,Velsao |
Loutulim,Loutulim |
Queula,Queula |
Mormugao,Mormugao |
Lakshadweep,Lakshadweep |Laccadive Islands |Minicoy |Aminidivi Islands |
Lakshadweep District,Lakshadweep District |Lakshadweep District |
Agatti Island,Agatti Island |
Amini Island,Amini Island |
Andrott Island,Andrott Island |
Bitra Island,Bitra Island |
Chetlat Island,Chetlat Island |
Kadmat Island,Kadmat Island |
Kalpeni Island,Kalpeni Island |
Kavaratti Island,Kavaratti Island |
Kiltan Island,Kiltan Island |
Minicoy Island,Minicoy Island |
Kerala,Kerala |Malabar |
Alappuzha,Alappuzha |Alappuzha |Alleppey |
Alappuzha,Alappuzha |
Chengannur,Chengannur |
Cherthala,Cherthala |
Haripad,Haripad |
Kayamkulam,Kayamkulam |
Mavelikkara,Mavelikkara |
Ernakulam,Ernakulam |Ernakulam |Kochi |
Kochi,Kochi |
Thrippunithura,Thrippunithura |
Perumbavoor,Perumbavoor |
Muvattupuzha,Muvattupuzha |
Kothamangalam,Kothamangalam |
Aluva,Aluva |
Angamaly,Angamaly |
Eloor,Eloor |
Kalamassery,Kalamassery |
KOOTHATUKULAM,KOOTHATUKULAM |
Maradu,Maradu |
Paravur,Paravur |
Piravom,Piravom |
Thrikakara,Thrikakara |
Idukki,Idukki |Idukki |
Munnar,Munnar |
Adimali,Adimali |
Rajakkad,Rajakkad |
Kattappana,Kattappana |
Kattapana,Kattapana |
Thodupuzha,Thodupuzha |
Kannur,Kannur |Kannur |Cannanore |
Kannur,Kannur |
Payyannur,Payyannur |
Taliparamba,Taliparamba |
Mattannur,Mattannur |
Iritty,Iritty |
Anthoor,Anthoor |
Irritty,Irritty |
Koothuparamba,Koothuparamba |
Panoor,Panoor |
Sreekandapuram,Sreekandapuram |
Thalassery,Thalassery |
Kasaragod,Kasaragod |Kasaragod |
Kasaragod,Kasaragod |
Nileshwar,Nileshwar |
Manjeshwar,Manjeshwar |
Uppala,Uppala |
Kumbla,Kumbla |
Kanhangad,Kanhangad |
Nileswaram,Nileswaram |
Kollam,Kollam |Kollam |Quilon |
Kollam,Kollam |
Punalur,Punalur |
Karunagappally,Karunagappally |
Kottarakkara,Kottarakkara |
Pathanapuram,Pathanapuram |
Paravoor,Paravoor |
Kottayam,Kottayam |Kottayam |
Kottayam,Kottayam |
Pala,Pala |
Vaikom,Vaikom |
Ettumanoor,Ettumanoor |
Kanjirappally,Kanjirappally |
Changanassery,Changanassery |
Erattupetta,Erattupetta |
Palai,Palai |
Kozhikode,Kozhikode |Kozhikode |Calicut |
Kozhikode,Kozhikode |
Beypore,Beypore |
Vadakara,Vadakara |
Perambra,Perambra |
Kunnamangalam,Kunnamangalam |
Feroke,Feroke |
Koduvally,Koduvally |
Mukkom,Mukkom |
Payyoli,Payyoli |
Quilandy,Quilandy |
Ramanattukara,Ramanattukara |
Malappuram,Malappuram |Malappuram |
Malappuram,Malappuram |
Perinthalmanna,Perinthalmanna |
Tirur,Tirur |
Ponnani,Ponnani |
Nilambur,Nilambur |
Kondotty,Kondotty |
Kottakkal,Kottakkal |
Manjeri,Manjeri |
Parapinangadi,Parapinangadi |
Thanur,Thanur |
Tirurangadi,Tirurangadi |
Valanchery,Valanchery |
Palakkad,Palakkad |Palakkad |
Palakkad,Palakkad |
Chittur,Chittur |
Shoranur,Shoranur |
Pattambi,Pattambi |
Alathur,Alathur |
Cherplassery,Cherplassery |
Ottappalam,Ottappalam |
Pathanamthitta,Pathanamthitta |Pathanamthitta |
Pathanamthitta,Pathanamthitta |
Thiruvalla,Thiruvalla |
Konni,Konni |
Ranni,Ranni |
Mallappally,Mallappally |
Adoor,Adoor |
Pandalam,Pandalam |
Thiruvananthapuram,Thiruvananthapuram |Thiruvananthapuram |Trivandrum |
Thiruvananthapuram,Thiruvananthapuram |
Nedumangad,Nedumangad |
Attingal,Attingal |
Varkala,Varkala |
Kattakada,Kattakada |
Neyyattinkara,Neyyattinkara |
Thrissur,Thrissur |Thrissur |Trichur |
Thrissur,Thrissur |
Kunnamkulam,Kunnamkulam |
Guruvayur,Guruvayur |
Irinjalakuda,Irinjalakuda |
Kodungallur,Kodungallur |
Chalakudy,Chalakudy |
Chavakkad,Chavakkad |
Guruvayoor,Guruvayoor |
Wadakkanchery,Wadakkanchery |
Wayanad,Wayanad |Wayanad |
Kalpetta,Kalpetta |
Mananthavady,Mananthavady |
Sulthan Bathery,Sulthan Bathery |
Tamil Nadu,Tamil Nadu |Madras State |
Chennai,Chennai |Chennai |
Chennai,Chennai |
Coimbatore,Coimbatore |Coimbatore |
Coimbatore,Coimbatore |
Alanthurai,Alanthurai |
Anaimalai,Anaimalai |
Annur,Annur |
Chettipalayam,Chettipalayam |
Dhaliyur,Dhaliyur |
Ettimadai,Ettimadai |
Gudalur,Gudalur |
Idikarai,Idikarai |
Irugur,Irugur |
Kannampalayam,Kannampalayam |
Karamadai,Karamadai |
Karumathampatti,Karumathampatti |
Kinathukadavu,Kinathukadavu |
Kottur,Kottur |
Madukkarai,Madukkarai |
Mettupalayam,Mettupalayam |
Mopperipalayam,Mopperipalayam |
Odaiyakulam,Odaiyakulam |
Othakalmandapam,Othakalmandapam |
Pallapalayam,Pallapalayam |
Periya Negamam,Periya Negamam |
Perur,Perur |
Pollachi,Pollachi |
Pooluvapatti,Pooluvapatti |
Samathur,Samathur |
Sarcarsamakulam,Sarcarsamakulam |
Sirumugai,Sirumugai |
Suleeswaranpatti,Suleeswaranpatti |
Sulur,Sulur |
Thenkarai,Thenkarai |
Thirumalayampalayam,Thirumalayampalayam |
Thondamuthur,Thondamuthur |
Valparai,Valparai |
Vedapatti,Vedapatti |
Veerapandi,Veerapandi |
Vellalur,Vellalur |
Vettaikaranpudur,Vettaikaranpudur |
Zamin Uthukuli,Zamin Uthukuli |
Cuddalore,Cuddalore |Cuddalore |
Cuddalore,Cuddalore |
Annamalai Nagar,Annamalai Nagar |
Bhuvanagiri,Bhuvanagiri |
Chidambaram,Chidambaram |
Gangaikondan,Gangaikondan |
Kattumannarkoil,Kattumannarkoil |
Killai,Killai |
Kurinjipadi,Kurinjipadi |
Lalpet,Lalpet |
Mangalampet,Mangalampet |
Melpattampakkam,Melpattampakkam |
Nellikuppam,Nellikuppam |
Panruti,Panruti |
Parangipettai,Parangipettai |
Pennadam,Pennadam |
Sethiathoppu,Sethiathoppu |
Srimushnam,Srimushnam |
Thorapadi,Thorapadi |
Tittakudi,Tittakudi |
Vadalur,Vadalur |
Virudhachalam,Virudhachalam |
Dharmapuri,Dharmapuri |Dharmapuri |
Dharmapuri,Dharmapuri |
Harur,Harur |
Kadathur,Kadathur |
Kambainallur,Kambainallur |
Kariamangalam,Kariamangalam |
Marandahalli,Marandahalli |
Palakkodu,Palakkodu |
Papparapatti,Papparapatti |
Pappireddipatti,Pappireddipatti |
Pennagaram,Pennagaram |
Dindigul,Dindigul |Dindigul |
Dindigul,Dindigul |
Agaram,Agaram |
Ammainaickanur,Ammainaickanur |
Ayakudi,Ayakudi |
Ayyalur,Ayyalur |
Ayyampalayam,Ayyampalayam |
Balasamudram,Balasamudram |
Batlagundu,Batlagundu |
Chinnalapatti,Chinnalapatti |
Eriodu,Eriodu |
Kannivadi,Kannivadi |
Keeranur,Keeranur |
Kodaikanal,Kodaikanal |
Natham,Natham |
Neikkarapatti,Neikkarapatti |
Nilakkottai,Nilakkottai |
Oddanchatram,Oddanchatram |
Palani,Palani |
Palayam,Palayam |
Pannaikadu,Pannaikadu |
Pattiveeranpatti,Pattiveeranpatti |
Sevugampatti,Sevugampatti |
Sithayankottai,Sithayankottai |
Sriramapuram,Sriramapuram |
Thadikombu,Thadikombu |
Vadamadurai,Vadamadurai |
Vedasandur,Vedasandur |
Erode,Erode |Erode |
Erode,Erode |
Ammapettai,Ammapettai |
Anthiyur,Anthiyur |
Appakudal,Appakudal |
Arachalur,Arachalur |
Ariyappampalayam,Ariyappampalayam |
Athani,Athani |
Avalpoondurai,Avalpoondurai |
Bhavani,Bhavani |
Bhavanisagar,Bhavanisagar |
Chennasamudram,Chennasamudram |
Chennimalai,Chennimalai |
Chithode,Chithode |
Elathur,Elathur |
